code,country,pop,gdp,life,cell
SRB,Serbia,7.06,38.3,75.24,9.09
SSD,South Sudan,12.23,,56.81,2.7
STP,Sao Tome and Principe,0.2,0.34,66.62,0.18
SUR,Suriname,0.56,3.28,71.4,0.81
SVK,Slovak Republic,5.43,89.77,76.56,6.99
SVN,Slovenia,2.07,44.71,80.78,2.39
SWE,Sweden,9.92,514.46,82.2,12.54
SWZ,Swaziland,1.34,3.72,57.75,1.0
SXM,Sint Maarten (Dutch part),0.04,,,
SYC,Seychelles,0.09,1.43,74.31,0.15
SYR,Syrian Arab Republic,18.43,,70.31,13.35
TCA,Turks and Caicos Islands,0.03,,,
TCD,Chad,14.45,9.6,52.9,6.23
TGO,Togo,7.61,4.4,60.23,5.51
THA,Thailand,68.86,407.03,75.3,119.67
TJK,Tajikistan,8.73,6.95,71.05,9.4
TKM,Turkmenistan,5.66,36.18,67.83,8.57
TLS,Timor-Leste,1.27,1.78,68.88,1.49
TMN,Middle East & North Africa (IDA & IBRD countries),369.17,1440.24,72.99,363.85
TON,Tonga,0.11,0.4,73.03,0.08
TSA,South Asia (IDA & IBRD),1766.39,2892.48,68.71,1481.31
TTO,Trinidad and Tobago,1.36,21.89,70.67,2.17
TUN,Tunisia,11.4,42.06,75.73,14.28
TUR,Turkey,79.51,863.71,75.76,75.06
TUV,Tuvalu,0.01,0.03,,0.01
TZA,Tanzania,55.57,47.34,65.68,40.04
UGA,Uganda,41.49,24.08,59.89,22.84
UKR,Ukraine,45.0,93.27,71.48,56.72
URY,Uruguay,3.44,52.42,77.49,5.12
USA,United States,323.13,18624.47,78.69,395.88
UZB,Uzbekistan,31.85,67.22,71.31,23.27
VCT,St. Vincent and the Grenadines,0.11,0.77,73.18,0.11
VEN,"Venezuela, RB",31.57,,74.54,27.6
VGB,British Virgin Islands,0.03,,,
VIR,Virgin Islands (U.S.),0.11,,79.27,
VNM,Vietnam,94.57,205.28,76.25,120.6
VUT,Vanuatu,0.27,0.77,72.13,0.22
WLD,World,7444.03,75871.74,72.04,7508.99
WSM,Samoa,0.2,0.79,75.01,0.15
XKX,Kosovo,1.82,6.65,71.65,
YEM,"Yemen, Rep.",27.58,27.32,64.95,16.43
ZAF,South Africa,56.02,295.46,62.77,82.41
ZMB,Zambia,16.59,21.06,61.87,12.02
ZWE,Zimbabwe,16.15,16.62,61.16,12.88
