STATION,DATE,EMXT,EMNT
GHCND:USW00014837,19971001,294,-28
GHCND:USW00014837,19971101,139,-128
GHCND:USW00014837,19971201,72,-139
GHCND:USW00014837,19980101,106,-217
GHCND:USW00014837,19980201,150,-117
GHCND:USW00014837,19980301,256,-156
GHCND:USW00014837,19980401,244,-28
GHCND:USW00014837,19980501,306,44
GHCND:USW00014837,19980601,317,50
GHCND:USW00014837,19980701,311,117
GHCND:USW00014837,19980801,306,94
GHCND:USW00014837,19980901,322,33
GHCND:USW00014837,19981001,239,-39
GHCND:USW00014837,19981101,183,-61
GHCND:USW00014837,19981201,167,-200
GHCND:USW00014837,19990101,67,-289
GHCND:USW00014837,19990201,161,-111
GHCND:USW00014837,19990301,222,-161
GHCND:USW00014837,19990401,239,-17
GHCND:USW00014837,19990501,289,22
GHCND:USW00014837,19990601,322,61
GHCND:USW00014837,19990701,361,117
GHCND:USW00014837,19990801,306,83
GHCND:USW00014837,19990901,322,17
GHCND:USW00014837,19991001,256,-72
GHCND:USW00014837,19991101,233,-106
GHCND:USW00014837,19991201,128,-211
GHCND:USW00014837,20000101,111,-217
GHCND:USW00014837,20000201,178,-161
GHCND:USW00014837,20000301,250,-94
GHCND:USW00014837,20000401,239,-56
GHCND:USW00014837,20000501,278,11
GHCND:USW00014837,20000601,300,61
GHCND:USW00014837,20000701,300,94
GHCND:USW00014837,20000801,328,106
GHCND:USW00014837,20000901,333,22
GHCND:USW00014837,20001001,250,-33
GHCND:USW00014837,20001101,233,-128
GHCND:USW00014837,20001201,17,-294
GHCND:USW00014837,20010101,39,-222
GHCND:USW00014837,20010201,72,-200
GHCND:USW00014837,20010301,128,-100
GHCND:USW00014837,20010401,272,-28
GHCND:USW00014837,20010501,300,33
GHCND:USW00014837,20010601,317,56
GHCND:USW00014837,20010701,350,61
GHCND:USW00014837,20010801,339,100
GHCND:USW00014837,20010901,289,22
GHCND:USW00014837,20011001,261,-50
GHCND:USW00014837,20011101,194,-39
GHCND:USW00014837,20011201,178,-156
GHCND:USW00014837,20020101,128,-172
GHCND:USW00014837,20020201,167,-133
GHCND:USW00014837,20020301,144,-222
GHCND:USW00014837,20020401,306,-72
GHCND:USW00014837,20020501,283,-22
GHCND:USW00014837,20020601,339,61
GHCND:USW00014837,20020701,367,89
GHCND:USW00014837,20020801,339,94
GHCND:USW00014837,20020901,322,11
GHCND:USW00014837,20021001,239,-33
GHCND:USW00014837,20021101,167,-117
GHCND:USW00014837,20021201,117,-167
GHCND:USW00014837,20030101,122,-228
GHCND:USW00014837,20030201,106,-211
GHCND:USW00014837,20030301,222,-206
GHCND:USW00014837,20030401,289,-122
GHCND:USW00014837,20030501,250,-17
GHCND:USW00014837,20030601,333,17
GHCND:USW00014837,20030701,317,94
GHCND:USW00014837,20030801,344,100
GHCND:USW00014837,20030901,317,-6
GHCND:USW00014837,20031001,261,-56
GHCND:USW00014837,20031101,183,-111
GHCND:USW00014837,20031201,100,-172
GHCND:USW00014837,20040101,94,-250
